Euler1,Euler2,Euler3,n28,n28_noise,n32,n32_noise
0,77,84,0.265,1.305,0.186,7.032
0,77,91,0.243,4.253,0.272,6.931
0,77,98,0.256,12.722,0.222,2.392
0,77,105,0.283,4.953,0.273,8.545
0,77,112,0.251,6.031,0.227,1.255
0,77,119,0.294,5.068,0.254,3.78
0,77,126,0.266,8.796,0.268,7.555
0,77,133,0.206,3.507,0.234,1.862
0,77,140,0.221,11.835,0.276,7.801
0,77,147,0.266,10.535,0.218,8.252
0,77,154,0.285,4.345,0.278,9.236
0,77,161,0.275,2.907,0.226,6.516
0,77,168,0.286,0.375,0.277,2.527
0,77,175,0.232,5.551,0.22,2.313
0,84,0,0.27,8.823,0.33,6.462
0,84,7,0.275,7.39,0.298,6.985
0,84,14,0.286,2.329,0.263,4.521
0,84,21,0.302,9.593,0.291,6.002
0,84,28,0.332,0.345,0.331,8.521
0,84,35,0.355,7.341,0.311,6.006
0,84,42,0.338,6.2,0.234,6.016
0,84,49,0.342,11.479,0.266,6.01
0,84,56,0.34,6.198,0.33,9.725
0,84,63,0.333,8.913,0.319,8.187
0,84,70,0.316,8.788,0.288,4.068
0,84,77,0.272,6.264,0.273,2.841
0,84,84,0.248,6.338,0.316,7.767
0,84,91,0.188,7.153,0.322,7.326
0,84,98,0.229,2.223,0.319,9.099
0,84,105,0.267,5.295,0.246,3.218
0,84,112,0.3,6.729,0.299,6.841
0,84,119,0.318,8.102,0.325,7.606
0,84,126,0.324,10.12,0.314,7.685
0,84,133,0.344,7.329,0.289,7.531
0,84,140,0.338,9.609,0.267,10.328
0,84,147,0.332,6.215,0.313,9.846
0,84,154,0.332,0.885,0.334,7.4
0,84,161,0.297,3.174,0.313,4.211
0,84,168,0.285,8.523,0.275,1.285
0,84,175,0.263,8.138,0.299,0.687
7,0,0,0.255,7.414,0.242,6.175
7,0,7,0.249,9.181,0.272,8.064
7,0,14,0.0,4.348,0.248,4.448
7,0,21,0.27,11.438,0.281,5.813
7,0,28,0.234,13.866,0.0,9.012
7,0,35,0.245,7.645,0.281,13.733
7,0,42,0.148,16.026,0.226,5.711
7,0,49,0.123,15.693,0.0,12.345
7,0,56,0.0,10.937,0.253,5.494
7,0,63,0.291,7.849,0.24,9.722
7,0,70,0.0,10.063,0.0,0.108
7,0,77,0.263,14.809,0.256,5.551
7,0,84,0.0,11.452,0.114,8.539
7,0,91,0.268,16.491,0.0,0.03
7,0,98,0.0,8.096,0.0,9.355
7,0,105,0.263,7.354,0.241,8.496
7,0,112,0.263,6.48,0.238,0.305
7,0,119,0.0,9.373,0.0,9.442
7,0,126,0.0,8.645,0.219,9.301
7,0,133,0.29,4.536,0.281,0.897
7,0,140,0.255,11.544,0.254,7.432
7,0,147,0.0,7.131,0.0,8.594
7,0,154,0.264,9.634,0.23,8.802
7,0,161,0.242,11.419,0.232,0.915
7,0,168,0.0,14.146,0.263,8.077
7,0,175,0.205,0.289,0.276,5.25
7,7,0,0.004,1.203,0.007,6.028
7,7,7,0.06,6.757,0.066,6.994
7,7,14,0.101,0.946,0.172,6.167
7,7,21,0.004,5.191,0.438,3.876
7,7,28,0.006,0.681,0.006,7.006
7,7,35,0.007,8.268,0.004,6.072
7,7,42,0.005,6.184,0.006,9.408
7,7,49,0.005,7.013,0.006,9.56
7,7,56,0.002,6.883,0.003,9.931
7,7,63,0.004,9.307,0.009,1.283
7,7,70,0.006,11.938,0.006,1.429
7,7,77,0.003,8.574,0.001,4.385
7,7,84,0.003,7.003,0.005,6.793
7,7,91,0.006,4.653,0.006,5.029
7,7,98,0.006,7.012,0.01,8.3
7,7,105,0.006,2.068,0.005,4.756
7,7,112,0.005,5.465,0.007,3.716
7,7,119,0.007,8.868,0.004,1.72
7,7,126,0.006,7.001,0.003,7.003
7,7,133,0.005,7.026,0.007,10.458
7,7,140,0.005,7.066,0.005,7.014
7,7,147,0.004,7.439,0.006,8.071
7,7,154,0.01,4.515,0.005,10.925
7,7,161,0.003,9.723,0.006,10.542
7,7,168,0.004,8.289,0.005,8.709
7,7,175,0.004,7.001,0.006,12.269
7,14,0,0.001,9.573,0.001,2.497
7,14,7,0.003,4.161,0.003,2.137
7,14,14,0.002,4.888,0.002,3.143
7,14,21,0.003,4.336,0.002,1.403
7,14,28,0.002,5.294,0.003,3.852
7,14,35,0.002,3.185,0.002,6.217
7,14,42,0.002,2.269,0.003,5.404
7,14,49,0.051,4.023,0.002,6.086
7,14,56,0.003,2.29,0.003,1.966
7,14,63,0.003,4.624,0.002,8.246
7,14,70,0.002,8.602,0.003,3.986
7,14,77,0.001,1.809,0.002,8.605
7,14,84,0.003,2.272,0.001,1.855
7,14,91,0.009,1.98,0.003,4.243
7,14,98,0.003,8.552,0.002,2.571
7,14,105,0.002,3.442,0.002,1.8
7,14,112,0.002,4.128,0.002,7.551
7,14,119,0.002,3.871,0.024,6.894
7,14,126,0.001,12.62,0.001,3.509
7,14,133,0.002,7.068,0.003,6.998
7,14,140,0.002,6.466,0.002,1.98
7,14,147,0.003,4.526,0.003,9.408
7,14,154,0.003,7.148,0.002,8.739
7,14,161,0.003,2.813,0.003,8.469
7,14,168,0.002,2.309,0.002,5.781
7,14,175,0.003,2.45,0.003,2.168
7,21,0,0.002,8.387,0.023,2.741
7,21,7,0.003,0.651,0.001,4.28
7,21,14,0.028,3.999,0.001,3.993
7,21,21,0.001,2.592,0.019,3.463
7,21,28,0.001,8.79,0.002,4.559
7,21,35,0.001,0.54,0.008,2.593
7,21,42,0.005,9.334,0.001,5.158
7,21,49,0.001,3.989,0.003,1.512
7,21,56,0.01,2.018,0.001,3.816
7,21,63,0.014,2.575,0.002,7.992
7,21,70,0.001,2.621,0.023,4.204
7,21,77,0.044,2.777,0.003,7.336
7,21,84,0.004,5.036,0.005,7.833
7,21,91,0.001,2.699,0.006,3.749
7,21,98,0.001,12.081,0.001,6.413
7,21,105,0.047,4.428,0.012,3.342
7,21,112,0.001,12.249,0.017,7.129
7,21,119,0.001,4.948,0.001,2.835
7,21,126,0.001,4.443,0.001,4.179
7,21,133,0.005,8.32,0.001,2.919
7,21,140,0.005,4.819,0.001,2.574
7,21,147,0.006,5.497,0.001,6.342
7,21,154,0.008,6.642,0.001,3.278
7,21,161,0.02,3.736,0.011,3.496
7,21,168,0.018,4.43,0.001,5.639
7,21,175,0.005,4.615,0.001,4.532
7,28,0,0.038,4.363,0.03,4.346
7,28,7,0.016,3.802,0.001,4.28
7,28,14,0.0,3.732,0.004,3.601
7,28,21,0.034,9.763,0.035,8.353
7,28,28,0.014,3.336,0.016,4.289
7,28,35,0.006,5.768,0.041,3.382
7,28,42,0.022,2.932,0.009,2.816
7,28,49,0.001,4.728,0.0,7.077
7,28,56,0.024,3.603,0.02,3.997
7,28,63,0.036,2.711,0.001,3.741
7,28,70,0.004,4.763,0.037,4.433
7,28,77,0.014,4.511,0.017,5.7
7,28,84,0.001,3.818,0.034,0.934
7,28,91,0.011,5.063,0.03,3.671
7,28,98,0.029,4.542,0.004,3.507
7,28,105,0.001,5.343,0.012,3.408
7,28,112,0.035,0.722,0.004,3.713
7,28,119,0.004,5.969,0.004,3.577
7,28,126,0.008,6.157,0.024,3.418
7,28,133,0.019,3.772,0.001,2.318
7,28,140,0.001,5.824,0.033,7.727
7,28,147,0.037,3.704,0.016,1.015
7,28,154,0.039,9.239,0.015,5.324
7,28,161,0.01,2.495,0.022,7.248
7,28,168,0.021,1.153,0.001,0.482
7,28,175,0.001,3.344,0.014,4.35
7,35,0,0.029,3.253,0.016,2.145
7,35,7,0.026,4.473,0.004,4.069
7,35,14,0.019,1.786,0.014,4.395
7,35,21,0.025,6.516,0.018,3.645
7,35,28,0.001,5.643,0.012,5.488
7,35,35,0.01,4.53,0.001,4.378
7,35,42,0.006,4.241,0.004,4.979
7,35,49,0.022,4.512,0.012,4.751
7,35,56,0.005,7.531,0.009,4.415
7,35,63,0.014,1.683,0.017,3.905
7,35,70,0.021,5.428,0.003,3.963
7,35,77,0.006,2.795,0.01,3.836
7,35,84,0.003,1.002,0.004,6.909
7,35,91,0.001,4.458,0.001,5.804
7,35,98,0.022,4.023,0.012,4.237
7,35,105,0.019,2.048,0.005,4.091
7,35,112,0.005,4.814,0.019,7.348
7,35,119,0.006,4.883,0.017,3.959
7,35,126,0.008,3.313,0.006,2.589
7,35,133,0.005,4.383,0.023,5.375
7,35,140,0.014,2.662,0.005,7.168
7,35,147,0.01,6.859,0.013,4.622
7,35,154,0.013,2.001,0.011,4.532
7,35,161,0.016,5.486,0.022,4.356
7,35,168,0.024,5.287,0.01,4.078
7,35,175,0.004,4.093,0.009,6.108
7,42,0,0.001,4.963,0.025,1.411
7,42,7,0.019,2.532,0.001,2.599
7,42,14,0.011,3.246,0.022,5.066
7,42,21,0.019,2.274,0.018,5.142
7,42,28,0.016,7.332,0.001,1.626
7,42,35,0.013,5.712,0.027,5.064
7,42,42,0.024,2.525,0.016,6.881
7,42,49,0.001,3.448,0.007,2.335
7,42,56,0.023,3.289,0.026,2.056
7,42,63,0.011,5.209,0.007,1.793
7,42,70,0.009,2.799,0.021,4.416
7,42,77,0.008,10.267,0.019,2.872
7,42,84,0.013,3.169,0.001,2.468
7,42,91,0.013,6.394,0.015,4.7
7,42,98,0.014,2.859,0.011,3.259
7,42,105,0.023,4.794,0.007,2.966
7,42,112,0.012,5.202,0.016,3.313
7,42,119,0.018,5.932,0.004,2.68
7,42,126,0.016,1.981,0.009,2.469
7,42,133,0.026,5.312,0.027,6.239
7,42,140,0.002,2.233,0.003,5.712
7,42,147,0.018,4.753,0.021,4.07
7,42,154,0.002,3.214,0.01,4.867
7,42,161,0.008,6.196,0.002,2.514
7,42,168,0.013,5.09,0.023,5.721
7,42,175,0.012,5.192,0.004,5.392
7,49,0,0.013,2.823,0.009,1.777
7,49,7,0.003,2.325,0.004,3.473
7,49,14,0.015,4.18,0.007,3.226
7,49,21,0.001,2.608,0.004,4.799
7,49,28,0.005,1.175,0.014,3.673
7,49,35,0.003,6.973,0.01,2.554
7,49,42,0.012,3.482,0.015,1.998
7,49,49,0.002,2.648,0.004,3.016
7,49,56,0.011,1.881,0.008,1.899
7,49,63,0.015,3.596,0.008,6.255
7,49,70,0.014,1.24,0.009,5.621
7,49,77,0.014,6.708,0.011,1.184
7,49,84,0.01,3.105,0.006,4.895
7,49,91,0.014,5.276,0.009,5.387
7,49,98,0.001,5.713,0.005,2.563
7,49,105,0.015,6.203,0.009,5.84
7,49,112,0.002,0.857,0.005,4.748
7,49,119,0.009,3.672,0.004,5.408
7,49,126,0.001,5.457,0.01,3.865
7,49,133,0.014,3.341,0.004,5.648
7,49,140,0.001,3.038,0.011,5.447
7,49,147,0.011,6.306,0.006,3.432
7,49,154,0.014,1.824,0.009,5.775
7,49,161,0.016,6.423,0.01,0.939
7,49,168,0.009,5.659,0.006,6.067
7,49,175,0.009,3.401,0.008,4.167
7,56,0,0.004,3.513,0.013,1.817
7,56,7,0.003,4.944,0.001,7.537
7,56,14,0.005,5.244,0.007,4.751
7,56,21,0.003,2.913,0.006,1.559
7,56,28,0.007,1.891,0.006,5.746
7,56,35,0.005,5.968,0.009,5.299
7,56,42,0.001,2.515,0.001,8.434
7,56,49,0.008,2.558,0.005,3.415
7,56,56,0.008,4.441,0.005,0.917
7,56,63,0.005,6.536,0.004,0.87
7,56,70,0.002,4.545,0.007,5.071
7,56,77,0.001,1.888,0.006,1.446
7,56,84,0.009,1.282,0.001,2.424
7,56,91,0.007,2.793,0.001,5.882
7,56,98,0.003,2.04,0.005,2.721
7,56,105,0.003,1.447,0.007,6.327
7,56,112,0.007,4.828,0.009,2.904
7,56,119,0.006,6.774,0.006,2.063
7,56,126,0.007,1.947,0.003,2.172
7,56,133,0.004,4.533,0.007,1.875
7,56,140,0.007,2.306,0.009,4.614
7,56,147,0.005,2.839,0.01,1.93
7,56,154,0.006,4.903,0.006,0.687
7,56,161,0.001,5.769,0.006,4.879
7,56,168,0.002,3.058,0.011,2.017
7,56,175,0.007,4.53,0.006,6.891
7,63,0,0.002,3.524,0.005,5.023
7,63,7,0.001,1.019,0.002,2.93
7,63,14,0.005,1.933,0.003,3.658
7,63,21,0.002,2.089,0.006,2.612
7,63,28,0.002,4.454,0.004,6.9
7,63,35,0.005,2.748,0.004,6.968
7,63,42,0.007,6.348,0.005,3.965
7,63,49,0.002,6.758,0.004,3.184
7,63,56,0.005,4.029,0.003,7.033
7,63,63,0.004,1.749,0.003,2.695
7,63,70,0.002,3.866,0.001,3.22
7,63,77,0.005,4.348,0.003,4.828
7,63,84,0.005,2.7,0.006,4.129
7,63,91,0.001,6.435,0.005,3.214
7,63,98,0.002,3.689,0.003,0.984
7,63,105,0.004,2.464,0.006,1.744
7,63,112,0.003,3.734,0.004,6.454
7,63,119,0.003,2.393,0.005,2.061
7,63,126,0.003,3.526,0.004,2.23
7,63,133,0.006,6.382,0.001,3.08
7,63,140,0.002,3.932,0.001,7.1
7,63,147,0.004,5.623,0.002,3.124
7,63,154,0.003,2.606,0.002,5.046
7,63,161,0.002,3.414,0.004,3.064
7,63,168,0.005,6.715,0.001,3.465
7,63,175,0.005,1.869,0.006,3.271
7,70,0,0.002,4.109,0.003,2.794
7,70,7,0.001,0.897,0.001,2.82
7,70,14,0.003,1.789,0.003,6.65
7,70,21,0.002,5.931,0.002,2.755
7,70,28,0.002,3.266,0.002,4.65
7,70,35,0.002,3.134,0.003,1.691
7,70,42,0.001,1.733,0.001,2.869
7,70,49,0.001,2.483,0.002,0.184
7,70,56,0.001,0.668,0.002,3.236
7,70,63,0.001,3.37,0.002,8.34
7,70,70,0.001,4.978,0.002,2.931
7,70,77,0.003,3.562,0.001,3.022
7,70,84,0.001,2.448,0.001,4.365
7,70,91,0.002,5.484,0.001,1.723
7,70,98,0.001,7.081,0.004,2.641
7,70,105,0.004,3.643,0.004,0.757
7,70,112,0.003,5.788,0.001,3.231
7,70,119,0.001,2.394,0.003,6.958
7,70,126,0.002,3.681,0.002,0.9
7,70,133,0.002,3.964,0.001,5.764
7,70,140,0.002,1.3,0.003,2.719
7,70,147,0.001,1.228,0.002,2.733
7,70,154,0.003,7.05,0.001,5.264
7,70,161,0.001,6.864,0.001,1.499
7,70,168,0.002,6.447,0.002,5.262
7,70,175,0.003,3.434,0.003,3.186
7,77,0,0.001,5.934,0.002,6.872
7,77,7,0.001,5.111,0.001,4.232
7,77,14,0.002,7.573,0.001,4.563
7,77,21,0.001,5.724,0.001,2.068
7,77,28,0.001,5.214,0.001,13.938
7,77,35,0.001,1.693,0.001,2.283
