Euler1,Euler2,Euler3,default20,diffEvol,Anne
7,56,147,0.002,0.002,0.001
7,56,154,0.008,0.008,0.003
7,56,161,0.009,0.008,0.005
7,56,168,0.008,0.008,0.004
7,56,175,0.001,0.001,5.717
7,63,0,0.004,0.001,0.005
7,63,7,0.003,0.003,0.002
7,63,14,0.002,0.001,0.002
7,63,21,0.006,0.005,0.008
7,63,28,0.004,0.002,0.008
7,63,35,0.002,0.002,0.007
7,63,42,0.006,0.006,0.004
7,63,49,0.003,0.003,0.003
7,63,56,0.003,0.003,0.009
7,63,63,0.005,0.004,0.003
7,63,70,0.007,0.006,0.01
7,63,77,0.001,0.001,0.007
7,63,84,0.002,0.003,0.003
7,63,91,0.005,0.005,0.007
7,63,98,0.005,0.005,0.009
7,63,105,0.002,0.002,0.003
7,63,112,0.006,0.005,0.002
7,63,119,0.005,0.005,0.003
7,63,126,0.002,0.002,0.01
7,63,133,0.002,0.002,0.002
7,63,140,0.003,0.003,0.004
7,63,147,0.003,0.004,0.003
7,63,154,0.002,0.001,0.004
7,63,161,0.005,0.002,0.003
7,63,168,0.002,0.001,0.003
7,63,175,0.001,0.001,0.001
7,70,0,0.003,0.004,0.001
7,70,7,0.001,0.002,0.002
7,70,14,0.002,0.001,0.004
7,70,21,0.001,0.001,0.001
7,70,28,0.001,0.001,0.002
7,70,35,0.001,0.002,0.003
7,70,42,0.004,0.004,0.005
7,70,49,0.001,0.002,0.001
7,70,56,0.003,0.002,0.003
7,70,63,0.001,0.002,0.006
7,70,70,0.002,0.002,0.002
7,70,77,0.002,0.002,0.003
7,70,84,0.003,0.003,0.002
7,70,91,0.002,0.002,0.002
7,70,98,0.001,0.002,0.001
7,70,105,0.001,0.001,0.001
7,70,112,0.001,0.001,0.002
7,70,119,0.001,0.002,0.001
7,70,126,0.001,0.002,0.003
7,70,133,0.002,0.003,0.005
7,70,140,0.003,0.004,0.007
7,70,147,0.003,0.004,0.002
7,70,154,0.002,0.001,0.006
7,70,161,0.004,0.003,0.002
7,70,168,0.002,0.001,0.003
7,70,175,0.005,0.003,0.005
7,77,0,0.001,0.001,0.002
7,77,7,0.003,0.003,0.005
7,77,14,0.001,0.001,0.004
7,77,21,0.002,0.001,0.004
7,77,28,0.003,0.001,0.004
7,77,35,0.001,0.001,0.002
7,77,42,0.001,0.0,0.002
7,77,49,0.001,0.001,0.003
7,77,56,0.0,0.002,0.004
7,77,63,0.001,0.0,0.003
7,77,70,0.001,0.002,0.002
7,77,77,0.003,0.003,0.005
7,77,84,0.002,0.001,0.006
7,77,91,0.001,0.001,0.005
7,77,98,0.002,0.002,0.001
7,77,105,0.003,0.003,0.002
7,77,112,0.001,0.001,0.003
7,77,119,0.001,0.001,0.003
7,77,126,0.003,0.002,0.003
7,77,133,0.001,0.001,0.005
7,77,140,0.003,0.003,0.007
7,77,147,0.004,0.004,0.002
7,77,154,0.003,0.003,0.005
7,77,161,0.002,0.002,0.002
7,77,168,0.004,0.003,0.003
7,77,175,0.002,0.001,0.002
7,84,0,0.0,0.001,0.001
7,84,7,0.019,0.018,0.019
7,84,14,0.006,0.007,0.006
7,84,21,0.002,0.003,0.002
7,84,28,0.005,0.003,0.01
7,84,35,0.008,0.004,0.012
7,84,42,0.003,0.004,0.005
7,84,49,0.004,0.001,0.002
7,84,56,0.011,0.001,0.018
7,84,63,0.006,0.006,0.004
7,84,70,0.003,0.002,0.003
7,84,77,0.013,0.003,0.005
7,84,84,0.018,0.005,0.025
7,84,91,0.003,0.001,0.003
7,84,98,0.014,0.01,0.036
7,84,105,0.013,0.031,0.01
7,84,112,0.007,0.002,0.012
7,84,119,0.002,0.002,0.005
7,84,126,0.005,0.018,0.024
7,84,133,0.01,0.003,0.022
7,84,140,0.007,0.002,0.001
7,84,147,0.006,0.0,0.027
7,84,154,0.003,0.004,0.005
7,84,161,0.007,0.002,0.018
7,84,168,0.016,0.017,0.032
7,84,175,0.005,0.004,0.003
14,0,0,0.0,0.207,0.243
14,0,7,0.0,0.177,0.0
14,0,14,0.251,0.207,0.331
14,0,21,0.0,0.21,0.015
14,0,28,0.288,0.098,0.11
14,0,35,0.304,0.207,0.178
14,0,42,0.0,0.207,0.428
14,0,49,0.279,0.207,0.008
14,0,56,0.258,0.207,0.293
14,0,63,0.249,0.207,0.153
14,0,70,0.0,0.207,0.0
14,0,77,0.315,0.207,0.274
14,0,84,0.066,0.207,0.303
14,0,91,0.223,0.207,0.318
14,0,98,0.53,0.207,0.356
14,0,105,0.0,0.207,0.079
14,0,112,0.0,0.207,0.301
14,0,119,0.0,0.207,0.045
14,0,126,0.0,0.207,0.466
14,0,133,0.0,0.207,0.127
14,0,140,0.199,0.207,0.196
14,0,147,0.357,0.207,0.196
14,0,154,0.313,0.207,0.305
14,0,161,0.0,0.207,0.398
14,0,168,0.0,0.207,0.231
14,0,175,0.0,0.207,0.141
14,7,0,0.005,0.002,0.788
14,7,7,0.083,0.003,0.588
14,7,14,0.484,1.94,1.753
14,7,21,0.027,3.123,1.977
14,7,28,0.052,0.003,0.096
14,7,35,1.573,0.002,0.024
14,7,42,0.008,0.002,1.371
14,7,49,0.002,0.004,0.1
14,7,56,0.021,0.004,5.809
14,7,63,0.003,0.003,0.001
14,7,70,0.011,0.016,0.024
14,7,77,0.008,0.003,0.1
14,7,84,0.023,0.003,0.015
14,7,91,0.003,0.002,6.315
14,7,98,0.005,6.996,0.88
14,7,105,0.004,0.004,0.536
14,7,112,0.315,0.003,5.505
14,7,119,0.012,0.004,0.026
14,7,126,0.007,0.004,1.128
14,7,133,0.012,0.002,5.614
14,7,140,0.004,0.003,0.005
14,7,147,0.005,0.003,0.589
14,7,154,0.193,0.003,0.122
14,7,161,0.006,0.003,0.062
14,7,168,0.003,0.002,0.317
14,7,175,0.625,0.004,0.006
14,14,0,0.141,0.001,0.376
14,14,7,0.002,1.897,1.796
14,14,14,0.023,0.001,0.01
14,14,21,0.015,0.008,0.015
14,14,28,0.002,0.002,0.43
14,14,35,0.012,11.184,11.118
14,14,42,0.003,0.001,0.49
14,14,49,0.003,0.001,0.416
14,14,56,0.001,0.001,0.001
14,14,63,0.005,0.001,2.747
14,14,70,0.019,0.019,2.91
14,14,77,0.002,0.002,2.351
14,14,84,0.003,0.002,0.004
14,14,91,0.0,0.001,3.227
14,14,98,0.002,0.001,2.425
14,14,105,0.001,0.001,0.014
14,14,112,0.042,0.045,0.042
14,14,119,0.001,0.002,0.049
14,14,126,0.017,0.018,0.051
14,14,133,0.001,0.002,0.003
14,14,140,0.024,0.001,0.003
14,14,147,0.002,0.001,0.093
14,14,154,0.015,0.001,0.013
14,14,161,0.001,0.001,3.176
14,14,168,0.002,0.002,14.0
14,14,175,0.001,0.001,0.119
14,21,0,0.001,0.0,0.006
14,21,7,0.002,0.001,2.845
14,21,14,0.004,0.0,0.002
14,21,21,0.006,0.0,0.02
14,21,28,0.002,0.001,0.003
14,21,35,0.001,0.001,0.842
14,21,42,0.009,0.012,0.012
14,21,49,0.002,0.001,0.001
14,21,56,0.001,0.001,0.002
14,21,63,0.021,0.02,0.022
14,21,70,0.002,0.001,2.138
14,21,77,0.001,0.001,0.001
14,21,84,0.029,0.029,0.026
14,21,91,0.012,0.012,2.952
14,21,98,0.013,0.012,2.106
14,21,105,0.017,0.021,0.02
14,21,112,0.01,0.01,0.198
