Euler1,Euler2,Euler3,n14,n14_noise,n16,n16_noise,n20,n20_noise,n24,n24_noise
0,35,98,0.052,6.551,0.075,0.487,0.016,0.813,0.014,0.397
0,35,105,0.177,1.4,0.006,0.804,0.015,1.77,0.047,1.895
0,35,112,0.048,8.122,0.001,0.931,0.058,0.237,0.001,7.412
0,35,119,0.005,1.148,0.003,1.278,0.001,3.654,0.042,6.676
0,35,126,0.002,7.178,0.116,0.582,0.006,8.041,0.015,0.653
0,35,133,0.065,1.028,0.017,0.989,0.011,6.576,0.005,3.51
0,35,140,0.039,1.462,0.009,4.269,0.001,4.94,0.017,3.97
0,35,147,0.005,2.111,0.002,0.304,0.023,7.783,0.021,7.235
0,35,154,0.096,4.903,0.109,1.957,0.066,6.174,0.064,1.364
0,35,161,0.081,1.421,0.067,4.106,0.02,7.484,0.002,0.648
0,35,168,0.066,7.572,0.034,8.529,0.057,1.505,0.001,0.807
0,35,175,0.02,0.586,0.001,4.621,0.06,1.011,0.001,0.282
0,42,0,0.054,4.947,0.001,0.836,0.001,1.278,0.002,0.091
0,42,7,1.314,1.406,0.001,1.217,0.043,6.927,0.001,8.133
0,42,14,0.001,2.683,0.068,0.885,0.019,4.388,0.032,6.671
0,42,21,0.06,0.679,0.109,0.18,0.0,4.461,0.022,0.562
0,42,28,0.01,4.777,0.001,3.341,0.001,6.622,0.018,5.412
0,42,35,0.004,4.5,0.0,1.331,0.0,4.778,0.001,3.417
0,42,42,0.005,1.26,0.001,2.049,0.017,0.794,0.0,1.623
0,42,49,0.052,6.345,0.092,1.549,0.008,2.189,0.004,0.647
0,42,56,0.0,4.522,0.0,2.4,0.02,6.268,0.024,5.252
0,42,63,0.061,6.153,0.026,0.427,0.017,5.709,0.006,0.956
0,42,70,0.002,0.425,0.001,6.278,0.016,6.177,0.003,1.17
0,42,77,0.02,7.429,0.022,0.907,0.003,6.033,0.001,3.165
0,42,84,0.004,5.57,0.0,2.36,0.001,6.982,0.032,0.669
0,42,91,0.053,5.146,0.061,3.888,0.033,0.71,0.001,3.835
0,42,98,0.047,0.955,0.0,5.213,0.001,1.534,0.001,5.844
0,42,105,0.001,7.441,0.0,1.082,0.02,2.053,0.027,9.367
0,42,112,0.001,4.919,0.073,6.79,0.024,2.872,0.001,0.92
0,42,119,0.05,1.477,0.005,0.898,0.076,7.308,0.002,1.35
0,42,126,0.0,5.576,0.031,0.262,0.018,0.816,0.0,5.94
0,42,133,0.068,8.966,0.042,2.221,0.033,6.024,0.023,1.696
0,42,140,0.032,1.849,0.002,0.988,0.0,0.777,0.015,5.647
0,42,147,0.013,0.839,0.029,1.324,0.003,5.276,0.0,0.899
0,42,154,0.053,1.517,0.014,3.981,0.0,1.051,0.001,1.183
0,42,161,0.001,1.209,0.001,9.166,0.015,0.408,0.005,4.629
0,42,168,0.068,7.675,0.002,8.223,0.0,8.625,0.027,1.565
0,42,175,0.049,2.539,0.05,0.375,0.001,1.443,0.027,3.866
0,49,0,0.01,5.864,0.001,1.528,0.001,4.524,0.0,3.893
0,49,7,0.093,6.069,0.341,1.389,0.004,6.863,0.001,0.734
0,49,14,0.105,0.895,0.001,1.481,0.002,2.834,0.001,0.352
0,49,21,0.125,5.904,0.004,3.453,0.023,7.239,0.01,1.502
0,49,28,0.053,1.265,0.121,1.479,0.002,7.522,0.026,0.732
0,49,35,0.001,1.354,0.007,1.442,0.013,8.879,0.001,6.028
0,49,42,0.014,2.124,0.023,8.027,0.001,6.792,0.014,0.89
0,49,49,0.001,1.533,0.073,6.022,0.124,3.703,0.012,8.819
0,49,56,0.129,4.191,0.001,1.032,0.013,1.243,0.005,5.875
0,49,63,0.001,3.461,0.002,2.011,0.001,0.319,0.015,0.702
0,49,70,0.083,1.333,0.001,1.552,0.001,0.717,0.036,1.256
0,49,77,0.072,2.484,0.001,3.219,0.001,4.441,0.013,0.311
0,49,84,0.072,0.436,0.12,2.218,0.018,0.709,0.001,3.44
0,49,91,0.026,5.687,0.001,4.913,0.01,7.189,0.001,8.628
0,49,98,0.002,1.398,0.021,1.235,0.034,2.28,0.006,0.397
0,49,105,0.092,7.875,0.089,3.188,0.013,6.47,0.001,1.206
0,49,112,0.002,1.851,0.007,1.747,0.021,3.654,0.002,4.554
0,49,119,0.095,4.782,0.003,6.684,0.001,0.537,0.012,3.884
0,49,126,0.073,4.715,0.127,4.191,0.027,0.228,0.011,0.742
0,49,133,0.046,1.679,0.036,0.538,0.001,0.53,0.003,0.108
0,49,140,0.033,7.239,0.003,3.071,0.112,1.644,0.0,1.411
0,49,147,0.096,2.683,0.111,0.777,0.001,3.373,0.008,0.504
0,49,154,0.01,5.111,0.027,4.931,0.001,1.378,0.062,1.802
0,49,161,0.135,6.643,0.011,0.888,0.002,1.65,0.002,4.398
0,49,168,0.074,3.049,0.07,4.579,0.004,1.535,0.001,1.718
0,49,175,0.007,1.3,0.005,4.9,0.052,4.429,0.039,0.721
0,56,0,0.001,3.307,0.001,0.536,0.022,4.593,0.001,0.659
0,56,7,0.141,4.802,0.001,5.994,0.078,4.669,0.001,0.306
0,56,14,0.119,6.97,0.003,4.578,0.166,0.759,0.004,6.569
0,56,21,0.002,5.964,0.001,0.584,0.021,2.245,0.022,4.943
0,56,28,0.0,1.896,0.004,6.102,0.002,3.048,0.009,2.953
0,56,35,0.0,0.285,0.002,7.999,0.002,1.836,0.022,1.13
0,56,42,0.002,1.361,0.001,4.118,0.179,4.222,0.001,0.931
