Euler1,Euler2,Euler3,n14,n14_noise,n16,n16_noise,n20,n20_noise,n24,n24_noise
0,70,7,0.221,3.066,0.001,1.097,0.171,7.956,0.212,1.832
0,70,14,0.001,7.4,0.217,6.696,0.001,5.089,0.148,5.715
0,70,21,0.279,3.926,0.273,5.727,0.184,10.05,0.155,8.235
0,70,28,0.108,3.735,0.265,8.858,0.21,3.903,0.001,2.154
0,70,35,0.002,1.539,0.001,5.139,0.04,8.752,0.001,7.796
0,70,42,0.312,8.097,0.234,6.121,0.085,7.263,0.222,7.442
0,70,49,0.104,7.634,0.001,5.529,0.007,4.512,0.177,0.877
0,70,56,0.001,4.342,0.203,1.984,0.07,8.81,0.202,5.767
0,70,63,0.001,8.261,0.198,3.408,0.194,3.838,0.177,7.51
0,70,70,0.001,8.993,0.001,1.757,0.123,6.269,0.167,3.532
0,70,77,0.0,7.141,0.256,1.596,0.197,7.885,0.177,2.084
0,70,84,0.001,2.706,0.001,7.53,0.205,7.247,0.001,1.055
0,70,91,0.001,0.911,0.0,0.128,0.197,6.657,0.001,1.19
0,70,98,0.001,1.328,0.185,4.908,0.211,1.955,0.164,2.616
0,70,105,0.226,8.283,0.002,10.978,0.075,10.866,0.136,6.46
0,70,112,0.158,13.013,0.001,5.696,0.189,2.392,0.143,7.435
0,70,119,0.01,2.525,0.155,7.799,0.001,4.586,0.166,3.186
0,70,126,0.212,1.326,0.001,6.746,0.116,1.625,0.001,12.283
0,70,133,0.0,3.793,0.001,4.515,0.001,1.449,0.001,7.999
0,70,140,0.001,4.362,0.0,1.362,0.205,9.18,0.098,8.175
0,70,147,0.142,1.709,0.28,5.852,0.194,5.519,0.001,2.827
0,70,154,0.001,6.598,0.008,1.91,0.001,0.888,0.182,4.798
0,70,161,0.001,8.871,0.208,4.509,0.046,8.76,0.001,5.746
0,70,168,0.001,3.111,0.198,1.545,0.001,8.734,0.181,0.808
0,70,175,0.216,8.703,0.244,11.795,0.218,7.492,0.226,4.042
0,77,0,0.215,3.247,0.298,13.386,0.252,10.713,0.248,2.79
0,77,7,0.309,4.698,0.001,7.04,0.295,9.814,0.26,13.009
0,77,14,0.343,8.515,0.21,10.023,0.283,13.728,0.277,4.171
0,77,21,0.0,10.697,0.303,1.444,0.223,10.277,0.001,3.204
0,77,28,0.287,5.19,0.001,6.485,0.295,3.46,0.268,6.333
0,77,35,0.298,9.092,0.267,9.878,0.312,2.505,0.269,3.61
0,77,42,0.003,11.045,0.121,14.146,0.199,9.597,0.269,8.893
0,77,49,0.244,6.048,0.299,7.585,0.277,7.862,0.249,8.175
0,77,56,0.316,4.957,0.252,0.542,0.284,4.918,0.284,0.892
0,77,63,0.205,6.776,0.312,8.865,0.2,5.118,0.263,4.95
0,77,70,0.27,8.015,0.249,5.937,0.248,7.281,0.267,5.279
0,77,77,0.261,3.589,0.236,3.783,0.274,6.973,0.255,1.363
0,77,84,0.312,5.927,0.219,13.048,0.257,5.619,0.232,4.121
0,77,91,0.238,5.223,0.165,12.181,0.283,7.199,0.212,3.125
0,77,98,0.249,7.061,0.283,9.151,0.278,12.776,0.254,13.055
0,77,105,0.328,1.882,0.123,9.866,0.241,3.407,0.284,5.157
0,77,112,0.328,3.128,0.27,13.992,0.3,3.286,0.272,2.277
0,77,119,0.304,8.318,0.28,2.255,0.28,3.451,0.264,2.918
0,77,126,0.247,9.166,0.279,11.086,0.227,1.438,0.237,1.178
0,77,133,0.265,10.274,0.25,4.309,0.239,6.944,0.258,1.454
0,77,140,0.297,6.538,0.296,5.046,0.289,10.659,0.271,3.351
0,77,147,0.116,3.727,0.313,13.716,0.285,2.694,0.25,5.215
0,77,154,0.226,11.345,0.001,8.179,0.316,4.599,0.281,1.738
0,77,161,0.33,7.279,0.302,7.686,0.278,8.199,0.274,6.501
0,77,168,0.001,0.256,0.001,5.602,0.267,6.502,0.294,2.271
0,77,175,0.187,10.446,0.277,6.743,0.24,10.759,0.285,0.131
0,84,0,0.008,9.751,0.337,2.658,0.311,6.802,0.314,11.203
0,84,7,6.15,2.239,0.357,6.02,0.249,7.403,0.271,4.663
0,84,14,0.323,0.909,0.075,4.018,0.29,6.161,0.256,7.89
0,84,21,0.429,8.277,0.3,6.428,0.336,10.559,0.301,6.803
0,84,28,0.386,5.455,0.021,5.919,0.234,11.104,0.281,8.414
0,84,35,0.323,6.025,0.331,6.035,0.318,6.267,0.322,7.329
0,84,42,0.343,9.093,0.346,6.038,0.191,7.672,0.403,5.61
0,84,49,0.363,6.072,0.262,6.465,0.319,1.266,0.307,6.871
0,84,56,0.431,0.74,0.35,6.028,0.301,6.011,0.316,6.014
0,84,63,0.129,6.171,0.336,9.481,0.315,7.042,0.321,6.08
0,84,70,0.314,13.967,0.295,6.079,0.312,8.601,0.3,7.017
0,84,77,0.263,6.168,0.319,8.885,0.32,7.7,0.276,8.67
0,84,84,0.286,3.48,0.334,6.063,0.316,6.681,0.289,3.871
0,84,91,0.005,15.978,0.349,10.37,0.232,6.006,0.277,6.974
0,84,98,0.004,6.001,0.334,7.751,0.299,9.672,0.259,3.6
0,84,105,0.004,6.207,0.302,11.777,0.311,8.421,0.262,5.118
0,84,112,0.006,10.046,0.284,0.706,0.299,6.032,0.286,3.397
0,84,119,0.347,6.002,0.314,6.01,0.303,6.004,0.283,6.1
0,84,126,0.363,6.017,0.336,0.863,0.317,9.371,0.298,3.85
0,84,133,0.338,8.265,0.049,3.934,0.321,9.696,0.329,8.108
0,84,140,0.124,4.633,0.314,9.325,0.334,7.727,0.325,6.101
0,84,147,0.416,2.486,0.284,8.596,0.315,7.221,0.331,11.516
0,84,154,0.345,8.361,0.367,3.24,0.332,9.26,0.339,7.281
0,84,161,0.344,10.484,0.004,6.707,0.279,10.926,0.32,1.749
0,84,168,0.002,11.052,0.299,8.335,0.331,8.728,0.336,6.031
0,84,175,0.285,6.001,0.331,2.069,0.313,6.215,0.398,7.616
7,0,0,0.0,2.291,0.0,8.885,0.0,7.991,0.249,12.108
7,0,7,0.307,14.163,0.0,11.258,0.0,14.727,0.309,17.965
7,0,14,0.0,22.67,0.0,1.378,0.323,20.818,0.0,11.922
7,0,21,0.0,9.695,0.0,10.029,0.0,9.858,0.336,13.74
7,0,28,0.346,8.412,0.0,4.757,0.0,11.396,0.0,7.335
7,0,35,0.0,18.693,0.0,16.757,0.289,0.827,0.0,10.927
7,0,42,0.417,0.464,0.0,3.745,0.282,1.317,0.264,5.817
7,0,49,0.0,0.765,0.0,10.127,0.0,5.559,0.276,11.928
7,0,56,0.0,0.433,0.0,0.845,0.302,21.327,0.285,11.32
7,0,63,0.255,11.685,0.369,8.632,0.313,6.582,0.228,13.764
7,0,70,0.0,3.593,0.0,9.209,0.0,11.391,0.0,1.971
7,0,77,0.136,13.095,0.0,9.561,0.0,7.459,0.251,14.395
7,0,84,0.313,1.798,0.0,10.755,0.0,0.683,0.0,8.605
7,0,91,0.0,0.703,0.0,14.895,0.0,5.968,0.0,0.478
7,0,98,0.0,9.949,0.276,16.765,0.0,11.918,0.0,14.932
7,0,105,0.0,12.379,0.373,15.934,0.0,12.7,0.255,11.127
7,0,112,0.0,12.523,0.278,11.695,0.282,12.999,0.0,1.138
7,0,119,0.0,12.197,0.313,6.112,0.239,7.049,0.277,6.631
7,0,126,0.315,1.479,0.0,9.276,0.0,3.226,0.0,13.071
7,0,133,0.42,0.388,0.0,10.417,0.0,12.778,0.0,11.373
7,0,140,0.0,14.305,0.0,0.445,0.264,5.542,0.267,5.781
7,0,147,0.403,0.31,0.0,0.573,0.0,2.141,0.304,5.022
7,0,154,0.0,8.753,0.0,9.577,0.0,6.48,0.0,0.572
7,0,161,0.21,12.804,0.0,5.561,0.118,12.034,0.288,15.894
7,0,168,0.0,15.781,0.0,5.717,0.342,12.217,0.0,18.196
