Euler1,Euler2,Euler3,4samples,8samples,16samples,24samples
7,0,21,0.0,0.0,0.0,0.244
7,0,28,0.0,0.0,0.0,0.273
7,0,35,0.0,0.0,0.0,0.0
7,0,42,0.0,0.0,0.0,0.27
7,0,49,3.964,0.0,0.237,0.068
7,0,56,0.0,0.223,0.0,0.243
7,0,63,0.0,0.545,0.0,0.0
7,0,70,0.0,0.0,0.0,0.24
7,0,77,0.004,0.0,0.0,0.249
7,0,84,1.201,0.0,0.0,0.0
7,0,91,0.01,0.0,0.0,0.304
7,0,98,0.0,0.372,0.0,0.0
7,0,105,0.002,0.422,0.234,0.237
7,0,112,0.0,0.0,0.216,0.224
7,0,119,3.092,0.254,0.0,0.243
7,0,126,5.822,0.0,0.0,0.256
7,0,133,1.688,0.0,0.0,0.281
7,0,140,0.0,0.0,0.0,0.261
7,0,147,6.253,0.435,0.262,0.262
7,0,154,19.762,0.0,0.193,0.225
7,0,161,0.0,0.0,0.0,0.258
7,0,168,0.996,0.0,0.0,0.264
7,0,175,1.309,0.0,0.0,0.235
7,7,0,4.905,0.034,0.015,0.005
7,7,7,0.996,0.64,0.058,0.541
7,7,14,2.098,0.084,0.509,0.97
7,7,21,41.581,0.063,0.016,0.013
7,7,28,10.022,0.091,0.004,0.142
7,7,35,0.853,0.056,0.016,0.002
7,7,42,1.682,0.307,0.004,0.002
7,7,49,0.941,0.086,0.004,0.03
7,7,56,27.287,0.522,0.124,0.007
7,7,63,25.295,0.132,0.006,0.004
7,7,70,9.625,0.027,0.144,0.005
7,7,77,0.418,0.804,0.006,0.037
7,7,84,0.425,0.37,0.677,0.007
7,7,91,4.24,0.235,0.081,0.006
7,7,98,0.842,2.037,0.23,0.004
7,7,105,0.207,0.031,0.007,0.003
7,7,112,0.428,0.088,0.035,0.004
7,7,119,63.111,0.072,0.812,0.002
7,7,126,0.969,0.125,0.003,0.025
7,7,133,0.904,1.941,0.007,0.006
7,7,140,15.625,0.11,0.005,0.004
7,7,147,0.853,0.07,0.852,0.002
7,7,154,27.638,0.095,0.005,0.004
7,7,161,19.134,0.142,0.687,0.012
7,7,168,0.174,0.07,0.026,0.013
7,7,175,0.622,0.109,0.013,0.003
7,14,0,0.797,0.003,0.003,0.001
7,14,7,1.57,1.684,0.007,1.732
7,14,14,0.508,0.462,0.002,0.002
7,14,21,1.698,1.687,0.383,0.002
7,14,28,22.249,0.007,0.004,0.001
7,14,35,65.277,0.012,0.003,0.0
7,14,42,3.089,0.052,0.004,0.037
7,14,49,11.857,0.028,0.004,0.003
7,14,56,1.636,0.006,0.001,0.001
7,14,63,1.702,0.036,0.935,0.003
7,14,70,1.571,0.727,0.051,0.033
7,14,77,1.695,0.022,0.002,0.002
7,14,84,2.806,0.221,0.002,0.013
7,14,91,1.464,0.028,0.004,0.003
7,14,98,0.917,0.061,0.002,0.007
7,14,105,0.249,0.395,0.001,0.002
7,14,112,1.682,0.098,0.024,0.005
7,14,119,40.18,0.031,0.004,0.002
7,14,126,17.295,0.008,0.003,0.002
7,14,133,28.69,2.747,0.002,0.001
7,14,140,0.54,0.039,0.002,0.001
7,14,147,0.183,0.074,0.002,0.066
7,14,154,26.735,0.035,0.007,0.003
7,14,161,3.861,0.054,0.004,0.001
7,14,168,7.293,0.003,0.003,0.001
7,14,175,2.117,0.014,0.008,0.036
7,21,0,1.737,0.005,0.0,0.0
7,21,7,1.541,0.067,0.842,0.005
7,21,14,2.454,0.066,0.001,0.047
7,21,21,2.138,0.021,0.025,0.001
7,21,28,4.476,0.025,0.001,0.027
7,21,35,2.539,0.011,0.003,0.005
7,21,42,40.927,0.029,0.02,0.022
7,21,49,41.438,0.091,0.001,0.001
7,21,56,20.238,0.008,0.001,0.002
7,21,63,2.518,0.063,0.001,0.004
7,21,70,9.791,0.057,0.029,0.036
7,21,77,3.361,0.02,0.001,0.001
7,21,84,0.76,0.024,0.033,0.001
7,21,91,0.125,0.01,0.037,0.005
7,21,98,0.933,0.065,0.042,0.008
7,21,105,0.817,0.009,0.001,0.001
7,21,112,0.105,0.026,0.024,0.001
7,21,119,2.541,0.049,0.001,0.01
7,21,126,27.262,0.004,0.001,0.001
7,21,133,1.829,0.041,0.006,0.03
7,21,140,12.846,0.102,0.042,0.047
7,21,147,3.246,0.061,0.034,0.037
7,21,154,18.072,0.012,0.003,0.001
7,21,161,2.523,0.015,0.032,0.002
7,21,168,2.499,0.086,0.004,0.001
7,21,175,4.46,0.043,0.019,0.034
7,28,0,0.129,0.001,0.0,0.025
7,28,7,1.367,0.011,0.016,0.017
7,28,14,8.274,0.059,0.036,0.027
7,28,21,0.199,0.038,0.002,0.001
7,28,28,40.91,0.018,0.041,0.013
7,28,35,26.957,0.031,0.001,0.001
7,28,42,0.921,0.007,0.002,0.003
7,28,49,7.566,0.03,0.011,0.002
7,28,56,1.567,0.057,0.031,0.009
7,28,63,2.426,0.023,0.002,0.001
7,28,70,2.223,0.045,0.037,0.001
7,28,77,3.301,0.016,0.003,0.001
7,28,84,1.922,0.002,0.001,0.001
7,28,91,1.818,0.027,0.029,0.002
7,28,98,4.134,0.059,0.024,0.001
7,28,105,3.367,0.058,0.041,0.02
7,28,112,2.119,0.056,0.029,0.02
7,28,119,38.815,0.011,0.025,0.02
7,28,126,3.356,0.005,0.005,0.001
7,28,133,14.204,0.008,0.018,0.028
7,28,140,3.152,0.004,0.01,0.0
7,28,147,1.698,0.071,0.004,0.01
7,28,154,10.377,0.031,0.022,0.022
7,28,161,3.108,0.033,0.01,0.025
7,28,168,3.266,0.005,0.009,0.0
7,28,175,0.025,0.01,0.001,0.001
7,35,0,7.971,0.001,0.001,0.0
7,35,7,1.57,0.041,0.026,0.01
7,35,14,0.688,0.015,0.016,0.02
7,35,21,4.055,0.023,0.032,0.025
7,35,28,14.807,0.007,0.006,0.006
7,35,35,22.17,0.007,0.001,0.021
7,35,42,2.843,0.005,0.015,0.01
7,35,49,3.007,0.037,0.009,0.005
7,35,56,8.952,0.025,0.014,0.009
7,35,63,6.231,0.038,0.002,0.017
7,35,70,1.4,0.013,0.02,0.006
7,35,77,0.994,0.002,0.009,0.011
7,35,84,0.446,0.003,0.001,0.0
7,35,91,1.549,0.035,0.021,0.022
7,35,98,0.334,0.032,0.014,0.015
7,35,105,4.188,0.031,0.014,0.008
7,35,112,1.165,0.011,0.015,0.013
7,35,119,0.697,0.004,0.004,0.015
7,35,126,4.422,0.023,0.012,0.001
7,35,133,3.327,0.027,0.02,0.009
7,35,140,38.071,0.023,0.014,0.018
7,35,147,8.488,0.011,0.0,0.007
7,35,154,3.091,0.018,0.006,0.009
7,35,161,1.533,0.01,0.01,0.008
7,35,168,1.177,0.005,0.001,0.015
7,35,175,2.721,0.02,0.007,0.011
7,42,0,0.008,0.001,0.006,0.001
7,42,7,2.247,0.035,0.022,0.017
7,42,14,0.088,0.005,0.004,0.01
7,42,21,0.021,0.018,0.016,0.012
7,42,28,50.351,0.007,0.013,0.013
7,42,35,4.767,0.004,0.02,0.017
7,42,42,0.854,0.021,0.01,0.008
7,42,49,67.642,0.024,0.025,0.023
7,42,56,0.106,0.028,0.002,0.006
7,42,63,0.966,0.02,0.007,0.003
7,42,70,1.357,0.012,0.019,0.004
7,42,77,0.401,0.021,0.002,0.019
7,42,84,0.703,0.005,0.011,0.005
7,42,91,5.268,0.023,0.009,0.001
7,42,98,5.038,0.028,0.001,0.008
7,42,105,4.74,0.018,0.008,0.009
7,42,112,4.918,0.021,0.015,0.014
7,42,119,4.874,0.004,0.01,0.015
7,42,126,10.433,0.003,0.012,0.015
7,42,133,2.545,0.008,0.014,0.015
7,42,140,33.162,0.027,0.019,0.019
7,42,147,11.059,0.008,0.011,0.007
7,42,154,5.562,0.018,0.013,0.021
7,42,161,1.184,0.006,0.006,0.005
7,42,168,2.687,0.009,0.014,0.002
7,42,175,0.99,0.007,0.001,0.005
7,49,0,0.02,0.001,0.004,0.001
7,49,7,5.209,0.008,0.002,0.007
7,49,14,3.312,0.012,0.005,0.011
7,49,21,14.377,0.012,0.005,0.007
7,49,28,11.222,0.005,0.011,0.007
7,49,35,1.573,0.004,0.009,0.015
7,49,42,16.798,0.003,0.011,0.012
7,49,49,5.958,0.013,0.007,0.007
7,49,56,1.787,0.01,0.009,0.012
7,49,63,5.431,0.01,0.005,0.009
7,49,70,2.256,0.016,0.015,0.005
7,49,77,1.909,0.008,0.002,0.001
7,49,84,5.066,0.001,0.003,0.006
7,49,91,0.152,0.022,0.013,0.01
7,49,98,0.235,0.005,0.003,0.005
7,49,105,4.875,0.001,0.001,0.002
7,49,112,3.449,0.008,0.014,0.009
7,49,119,5.576,0.003,0.01,0.011
7,49,126,5.026,0.005,0.007,0.012
7,49,133,5.517,0.012,0.01,0.012
7,49,140,4.64,0.015,0.014,0.01
7,49,147,4.889,0.016,0.014,0.011
7,49,154,0.931,0.006,0.007,0.007
7,49,161,0.553,0.013,0.01,0.009
7,49,168,5.392,0.005,0.014,0.007
7,49,175,2.204,0.002,0.004,0.006
7,56,0,7.308,0.016,0.007,0.004
7,56,7,2.124,0.014,0.001,0.005
7,56,14,3.904,0.019,0.003,0.005
7,56,21,2.356,0.001,0.001,0.003
7,56,28,6.168,0.004,0.012,0.008
7,56,35,32.02,0.011,0.005,0.004
7,56,42,4.034,0.007,0.009,0.006
7,56,49,1.494,0.014,0.012,0.01
7,56,56,1.98,0.006,0.003,0.006
7,56,63,1.612,0.003,0.004,0.006
7,56,70,2.443,0.007,0.013,0.002
7,56,77,5.992,0.001,0.007,0.008
7,56,84,1.52,0.001,0.001,0.002
7,56,91,3.725,0.002,0.006,0.002
7,56,98,6.534,0.013,0.007,0.006
7,56,105,2.29,0.004,0.001,0.002
7,56,112,3.382,0.006,0.008,0.007
7,56,119,1.782,0.005,0.008,0.006
7,56,126,78.802,0.006,0.006,0.004
7,56,133,6.374,0.009,0.007,0.008
7,56,140,0.662,0.008,0.006,0.004
7,56,147,6.502,0.004,0.005,0.006
7,56,154,0.191,0.008,0.007,0.01
7,56,161,13.498,0.003,0.008,0.007
7,56,168,0.639,0.006,0.008,0.004
7,56,175,1.428,0.006,0.001,0.002
7,63,0,0.702,0.002,0.004,0.006
7,63,7,1.105,0.003,0.003,0.003
7,63,14,6.026,0.006,0.002,0.006
7,63,21,51.147,0.003,0.008,0.002
7,63,28,6.713,0.008,0.004,0.001
7,63,35,2.522,0.005,0.004,0.004
7,63,42,2.751,0.011,0.003,0.006
7,63,49,30.746,0.013,0.003,0.003
7,63,56,5.4,0.008,0.005,0.006
7,63,63,3.485,0.008,0.005,0.004
7,63,70,0.535,0.004,0.006,0.001
7,63,77,1.988,0.009,0.001,0.002
7,63,84,2.791,0.001,0.001,0.002
7,63,91,2.71,0.011,0.007,0.004
7,63,98,6.905,0.014,0.005,0.004
7,63,105,4.893,0.003,0.002,0.007
7,63,112,1.43,0.004,0.005,0.003
7,63,119,28.516,0.004,0.005,0.006
7,63,126,3.251,0.002,0.002,0.001
7,63,133,5.537,0.007,0.002,0.001
7,63,140,6.6,0.008,0.003,0.004
7,63,147,1.296,0.007,0.004,0.005
7,63,154,6.522,0.003,0.003,0.001
7,63,161,6.196,0.003,0.003,0.005
7,63,168,0.709,0.003,0.001,0.004
7,63,175,5.54,0.005,0.001,0.002
7,70,0,0.009,0.007,0.006,0.003
7,70,7,2.371,0.005,0.003,0.002
7,70,14,34.91,0.007,0.001,0.001
7,70,21,5.381,0.008,0.001,0.002
7,70,28,1.95,0.005,0.001,0.002
7,70,35,7.09,0.002,0.001,0.001
7,70,42,89.528,0.006,0.003,0.002
7,70,49,2.577,0.005,0.001,0.001
7,70,56,7.072,0.003,0.002,0.004
7,70,63,7.072,0.006,0.002,0.001
7,70,70,0.013,0.005,0.002,0.003
7,70,77,1.877,0.006,0.001,0.001
7,70,84,8.137,0.004,0.002,0.002
7,70,91,0.104,0.003,0.001,0.001
7,70,98,7.858,0.004,0.002,0.001
7,70,105,31.802,0.003,0.001,0.004
7,70,112,50.788,0.001,0.001,0.001
7,70,119,6.726,0.004,0.002,0.001
7,70,126,7.208,0.004,0.001,0.001
7,70,133,11.402,0.007,0.003,0.002
7,70,140,2.236,0.01,0.004,0.001
7,70,147,0.698,0.003,0.004,0.002
7,70,154,1.66,0.006,0.001,0.002
7,70,161,6.335,0.003,0.002,0.004
7,70,168,2.202,0.004,0.001,0.001
7,70,175,4.853,0.003,0.004,0.003
7,77,0,9.204,0.004,0.001,0.001
7,77,7,1.749,0.009,0.003,0.001
7,77,14,3.74,0.008,0.002,0.001
7,77,21,6.669,0.005,0.001,0.002
7,77,28,13.605,0.001,0.004,0.001
7,77,35,7.503,0.004,0.003,0.001
