Euler1,Euler2,Euler3,azimuth360,azimuth270,azimuth180,azimuth90
7,14,42,0.009,0.003,0.004,0.145
7,14,49,0.003,0.003,0.002,0.011
7,14,56,0.001,0.002,0.001,0.002
7,14,63,0.002,0.005,0.023,0.012
7,14,70,0.048,0.003,0.032,0.003
7,14,77,0.007,0.001,0.002,0.056
7,14,84,0.006,0.005,0.004,0.026
7,14,91,0.003,0.002,0.003,0.009
7,14,98,0.001,0.019,0.0,0.025
7,14,105,0.001,0.002,0.003,0.002
7,14,112,0.012,0.014,0.001,0.027
7,14,119,0.007,0.022,0.002,0.103
7,14,126,0.004,0.001,0.001,0.016
7,14,133,0.006,0.003,0.003,0.001
7,14,140,0.004,0.03,0.002,0.009
7,14,147,0.002,0.002,0.006,0.002
7,14,154,0.002,0.019,0.001,0.513
7,14,161,0.012,0.001,0.061,0.009
7,14,168,0.004,0.003,0.002,0.009
7,14,175,0.01,0.002,0.002,0.046
7,21,0,0.0,0.0,0.077,0.001
7,21,7,0.008,0.485,0.002,0.014
7,21,14,0.0,0.002,0.002,0.012
7,21,21,0.358,0.004,0.049,0.011
7,21,28,0.001,0.005,0.018,0.02
7,21,35,0.003,0.002,0.003,0.001
7,21,42,0.021,0.035,0.034,0.024
7,21,49,0.011,0.033,0.067,0.029
7,21,56,0.001,0.035,0.001,0.027
7,21,63,0.001,0.005,0.008,0.008
7,21,70,0.032,0.002,0.032,0.004
7,21,77,0.012,0.001,0.001,0.518
7,21,84,0.049,0.059,0.06,0.073
7,21,91,0.033,0.008,0.011,0.087
7,21,98,0.04,0.062,0.028,0.086
7,21,105,0.001,0.056,0.001,0.061
7,21,112,0.025,0.031,0.009,0.014
7,21,119,0.007,0.016,0.001,0.003
7,21,126,0.001,0.002,0.001,0.107
7,21,133,0.004,0.0,0.026,0.006
7,21,140,0.044,0.0,0.002,0.001
7,21,147,0.034,0.049,0.014,0.048
7,21,154,0.004,0.019,0.002,0.002
7,21,161,0.033,0.019,0.015,0.009
7,21,168,0.008,0.001,0.002,0.001
7,21,175,0.034,0.003,0.022,0.02
7,28,0,0.001,0.0,0.001,0.002
7,28,7,0.006,0.07,0.889,0.014
7,28,14,0.041,0.048,0.021,0.002
7,28,21,0.008,0.019,0.042,0.02
7,28,28,0.04,0.022,0.05,0.038
7,28,35,0.0,0.019,0.002,0.006
7,28,42,0.006,0.001,0.002,0.008
7,28,49,0.003,0.002,0.032,0.034
7,28,56,0.024,0.013,0.037,0.044
7,28,63,0.002,0.014,0.002,0.017
7,28,70,0.036,0.011,0.025,0.012
7,28,77,0.015,0.043,0.023,0.031
7,28,84,0.0,0.036,0.001,0.001
7,28,91,0.022,0.003,0.028,0.049
7,28,98,0.027,0.028,0.035,0.078
7,28,105,0.048,0.041,0.034,0.033
7,28,112,0.031,0.001,0.001,0.018
7,28,119,0.028,0.054,0.016,0.054
7,28,126,0.006,0.059,0.032,0.007
7,28,133,0.019,0.011,0.004,0.001
7,28,140,0.008,0.044,0.001,0.002
7,28,147,0.002,0.035,0.036,0.021
7,28,154,0.027,0.028,0.004,0.039
7,28,161,0.006,0.001,0.001,0.029
7,28,168,0.006,0.021,0.021,0.036
7,28,175,0.003,0.04,0.033,0.0
7,35,0,0.001,0.008,0.001,0.003
7,35,7,0.025,0.026,0.027,0.02
7,35,14,0.014,0.033,0.028,0.013
7,35,21,0.023,0.018,0.01,0.008
7,35,28,0.005,0.021,0.005,0.01
7,35,35,0.001,0.037,0.001,0.009
7,35,42,0.011,0.015,0.011,0.017
7,35,49,0.005,0.006,0.012,0.014
7,35,56,0.018,0.016,0.028,0.024
7,35,63,0.003,0.006,0.014,0.005
7,35,70,0.018,0.004,0.032,0.011
7,35,77,0.003,0.02,0.022,0.007
7,35,84,0.0,0.042,0.015,0.031
7,35,91,0.026,0.003,0.025,0.03
7,35,98,0.016,0.022,0.005,0.044
7,35,105,0.014,0.046,0.005,0.038
7,35,112,0.013,0.003,0.004,0.007
7,35,119,0.005,0.008,0.003,0.043
7,35,126,0.012,0.004,0.023,0.007
7,35,133,0.019,0.032,0.023,0.009
7,35,140,0.015,0.004,0.015,0.01
7,35,147,0.001,0.031,0.031,0.007
7,35,154,0.009,0.026,0.013,0.001
7,35,161,0.01,0.001,0.0,0.004
7,35,168,0.001,0.01,0.004,0.021
7,35,175,0.005,0.009,0.005,0.005
7,42,0,0.001,0.008,0.0,0.0
7,42,7,0.009,0.022,0.014,0.002
7,42,14,0.001,0.002,0.007,0.011
7,42,21,0.015,0.008,0.012,0.011
7,42,28,0.014,0.012,0.015,0.018
7,42,35,0.016,0.015,0.014,0.011
7,42,42,0.008,0.017,0.01,0.016
7,42,49,0.024,0.011,0.017,0.01
7,42,56,0.006,0.022,0.017,0.006
7,42,63,0.007,0.008,0.001,0.018
7,42,70,0.018,0.014,0.01,0.005
7,42,77,0.004,0.01,0.011,0.009
7,42,84,0.009,0.015,0.016,0.015
7,42,91,0.008,0.008,0.026,0.039
7,42,98,0.0,0.012,0.011,0.011
7,42,105,0.008,0.032,0.027,0.037
7,42,112,0.014,0.009,0.013,0.028
7,42,119,0.008,0.017,0.019,0.014
7,42,126,0.015,0.001,0.005,0.038
7,42,133,0.014,0.012,0.014,0.019
7,42,140,0.013,0.016,0.002,0.01
7,42,147,0.011,0.01,0.014,0.023
7,42,154,0.011,0.001,0.011,0.025
7,42,161,0.006,0.016,0.005,0.001
7,42,168,0.013,0.014,0.023,0.005
7,42,175,0.0,0.006,0.001,0.005
7,49,0,0.003,0.001,0.023,0.005
7,49,7,0.003,0.004,0.001,0.002
7,49,14,0.003,0.005,0.001,0.016
7,49,21,0.013,0.006,0.018,0.006
7,49,28,0.007,0.006,0.012,0.013
7,49,35,0.009,0.006,0.003,0.007
7,49,42,0.008,0.01,0.009,0.011
7,49,49,0.003,0.006,0.005,0.011
7,49,56,0.01,0.017,0.021,0.013
7,49,63,0.005,0.012,0.005,0.006
7,49,70,0.014,0.016,0.006,0.01
7,49,77,0.001,0.024,0.006,0.01
7,49,84,0.003,0.015,0.006,0.019
7,49,91,0.008,0.005,0.005,0.014
7,49,98,0.003,0.012,0.005,0.03
7,49,105,0.002,0.004,0.015,0.024
7,49,112,0.013,0.001,0.015,0.001
7,49,119,0.013,0.016,0.014,0.001
7,49,126,0.005,0.003,0.003,0.022
7,49,133,0.009,0.016,0.016,0.011
7,49,140,0.017,0.008,0.015,0.001
7,49,147,0.015,0.008,0.014,0.001
7,49,154,0.008,0.009,0.018,0.014
7,49,161,0.011,0.001,0.012,0.006
7,49,168,0.012,0.001,0.002,0.004
7,49,175,0.005,0.009,0.01,0.003
7,56,0,0.006,0.003,0.008,0.001
7,56,7,0.001,0.004,0.005,0.002
7,56,14,0.001,0.01,0.01,0.013
7,56,21,0.001,0.008,0.011,0.012
7,56,28,0.007,0.006,0.002,0.01
7,56,35,0.005,0.003,0.012,0.005
7,56,42,0.009,0.005,0.007,0.009
7,56,49,0.01,0.007,0.006,0.013
7,56,56,0.003,0.006,0.002,0.012
7,56,63,0.003,0.008,0.002,0.006
7,56,70,0.012,0.007,0.004,0.007
7,56,77,0.009,0.008,0.012,0.018
7,56,84,0.001,0.013,0.004,0.021
7,56,91,0.007,0.016,0.008,0.017
7,56,98,0.006,0.002,0.001,0.004
7,56,105,0.001,0.005,0.006,0.005
7,56,112,0.009,0.005,0.008,0.017
7,56,119,0.007,0.006,0.008,0.002
7,56,126,0.007,0.011,0.012,0.003
7,56,133,0.006,0.004,0.003,0.007
7,56,140,0.006,0.01,0.008,0.001
7,56,147,0.004,0.001,0.001,0.007
7,56,154,0.008,0.006,0.005,0.002
7,56,161,0.009,0.008,0.009,0.003
7,56,168,0.008,0.008,0.008,0.011
7,56,175,0.002,0.003,0.01,0.006
7,63,0,0.005,0.001,0.008,0.003
7,63,7,0.003,0.001,0.001,0.007
7,63,14,0.002,0.004,0.001,0.01
7,63,21,0.008,0.004,0.007,0.011
7,63,28,0.002,0.004,0.006,0.009
7,63,35,0.003,0.006,0.005,0.011
7,63,42,0.006,0.005,0.006,0.006
7,63,49,0.003,0.003,0.003,0.009
7,63,56,0.002,0.001,0.006,0.005
7,63,63,0.005,0.004,0.003,0.009
7,63,70,0.008,0.005,0.006,0.008
7,63,77,0.001,0.01,0.008,0.012
7,63,84,0.004,0.005,0.002,0.017
7,63,91,0.006,0.004,0.005,0.013
7,63,98,0.005,0.009,0.007,0.014
7,63,105,0.002,0.003,0.004,0.007
7,63,112,0.005,0.001,0.006,0.012
7,63,119,0.005,0.004,0.005,0.006
7,63,126,0.002,0.001,0.001,0.005
7,63,133,0.001,0.008,0.008,0.006
7,63,140,0.004,0.001,0.002,0.005
7,63,147,0.003,0.005,0.003,0.001
7,63,154,0.001,0.001,0.001,0.002
7,63,161,0.002,0.001,0.002,0.003
7,63,168,0.001,0.002,0.003,0.009
7,63,175,0.001,0.001,0.001,0.011
7,70,0,0.003,0.004,0.001,0.006
7,70,7,0.003,0.002,0.001,0.005
7,70,14,0.001,0.001,0.002,0.012
7,70,21,0.001,0.002,0.002,0.01
7,70,28,0.002,0.001,0.001,0.01
7,70,35,0.002,0.004,0.001,0.004
7,70,42,0.005,0.003,0.006,0.007
7,70,49,0.002,0.002,0.002,0.004
7,70,56,0.004,0.001,0.001,0.008
