Euler1,Euler2,Euler3,default10,default15,default20,default25,default30
0,56,84,0.001,0.085,0.001,0.001,0.033
0,56,91,0.002,0.002,0.001,0.001,0.001
0,56,98,0.005,0.084,0.011,0.002,0.025
0,56,105,0.001,0.023,0.001,0.029,0.039
0,56,112,0.001,0.002,0.001,0.125,0.001
0,56,119,0.002,0.01,0.001,0.082,0.072
0,56,126,0.002,0.064,0.024,0.007,0.045
0,56,133,0.109,0.001,0.104,0.033,0.071
0,56,140,0.005,0.001,0.001,0.084,0.074
0,56,147,0.002,0.056,0.002,0.001,0.002
0,56,154,0.149,0.001,0.0,0.017,0.006
0,56,161,0.001,0.124,0.034,0.025,0.001
0,56,168,0.075,0.064,0.033,0.001,0.002
0,56,175,0.002,0.002,0.002,0.002,0.001
0,63,0,0.001,0.001,0.001,0.001,0.001
0,63,7,0.229,0.215,0.026,0.192,0.001
0,63,14,0.291,0.16,0.004,0.002,0.052
0,63,21,0.318,0.002,0.002,0.03,0.05
0,63,28,0.002,0.001,0.004,0.001,0.002
0,63,35,0.157,0.001,0.137,0.233,0.13
0,63,42,0.211,0.002,0.004,0.018,0.01
0,63,49,0.027,0.007,0.117,0.01,0.008
0,63,56,0.002,0.045,0.139,0.055,0.002
0,63,63,0.002,0.002,0.024,0.002,0.005
0,63,70,0.065,0.157,0.101,0.001,0.186
0,63,77,0.002,0.001,0.0,0.059,0.004
0,63,84,0.132,0.001,0.002,0.151,0.001
0,63,91,0.159,0.2,0.002,0.002,0.001
0,63,98,0.001,0.082,0.015,0.001,0.001
0,63,105,0.142,0.13,0.001,0.001,0.001
0,63,112,0.003,0.006,0.001,0.001,0.001
0,63,119,0.14,0.001,0.157,0.001,0.001
0,63,126,0.002,0.001,0.107,0.04,0.001
0,63,133,0.001,0.006,0.001,0.001,0.002
0,63,140,0.292,0.001,0.006,0.117,0.002
0,63,147,0.0,0.001,0.001,0.001,0.001
0,63,154,0.26,0.003,0.001,0.001,0.001
0,63,161,0.181,0.013,0.002,0.001,0.001
0,63,168,0.002,0.002,0.001,0.001,0.205
0,63,175,0.206,0.154,0.164,0.118,0.001
0,70,0,0.001,0.001,0.001,0.001,0.001
0,70,7,0.23,0.224,0.29,0.188,0.254
0,70,14,0.231,0.007,0.001,0.159,0.004
0,70,21,0.024,0.272,0.001,0.001,0.01
0,70,28,0.001,0.062,0.204,0.223,0.27
0,70,35,0.002,0.001,0.001,0.233,0.189
0,70,42,0.001,0.275,0.143,0.207,0.194
0,70,49,0.212,0.001,0.001,0.001,0.115
0,70,56,0.34,0.003,0.223,0.001,0.196
0,70,63,0.172,0.183,0.001,0.004,0.17
0,70,70,0.122,0.001,0.241,0.144,0.127
0,70,77,0.001,0.133,0.001,0.0,0.007
0,70,84,0.001,0.001,0.0,0.147,0.001
0,70,91,0.221,0.208,0.002,0.001,0.076
0,70,98,0.001,0.001,0.001,0.092,0.069
0,70,105,0.001,0.221,0.048,0.148,0.104
0,70,112,0.219,0.001,0.002,0.196,0.128
0,70,119,0.261,0.197,0.137,0.193,0.001
0,70,126,0.001,0.001,0.001,0.001,0.001
0,70,133,0.001,0.169,0.001,0.002,0.205
0,70,140,0.001,0.189,0.002,0.0,0.001
